Fruits Present,Wolves Alive,Simulation Time,Rabbits Alive
0,14,0,0
1,14,27,0
2,14,29,0
3,14,29,0
4,14,29,0
5,14,29,0
6,14,29,0
7,14,29,0
8,14,29,0
9,14,29,0
10,14,29,0
11,14,29,0
12,14,29,0
13,14,29,0
14,14,29,0
15,14,29,0
16,14,29,0
17,14,29,0
18,14,29,0
19,14,29,0
20,14,29,0
21,14,29,0
22,14,29,0
23,14,29,0
24,14,29,0
25,14,29,0
26,14,29,0
27,14,29,0
28,14,29,0
29,14,29,0
30,14,29,0
31,14,29,0
32,14,29,0
33,14,29,0
34,14,29,0
35,14,29,0
36,14,29,0
37,14,29,0
38,14,29,0
39,14,29,0
40,14,30,0
41,14,30,0
42,14,30,0
43,14,30,0
44,14,30,0
45,14,30,0
46,14,30,0
47,14,30,0
48,14,30,0
49,14,30,0
50,14,30,0
51,14,30,0
52,14,30,0
53,14,30,0
54,14,30,0
55,14,30,0
56,14,30,0
57,14,30,0
58,14,30,0
59,14,30,0
60,14,30,0
61,14,86431,0
62,14,86431,0
63,14,86431,0
64,14,86432,0
65,14,86432,0
66,14,86432,0
67,14,86432,0
68,14,86432,0
69,14,86432,0
70,14,86432,0
71,14,86432,0
72,14,86433,0
73,14,86433,0
74,14,86433,0
75,14,86433,0
76,14,86433,0
77,14,86433,0
78,14,86433,0
79,14,86433,0
80,14,86433,0
81,14,86433,0
82,14,86434,0
83,14,86434,0
84,14,86434,0
85,14,86434,0
86,14,86434,0
87,14,86434,0
88,14,86434,0
89,14,86434,0
90,14,86434,0
91,14,86434,0
92,14,86434,0
93,14,86434,0
94,14,86434,0
95,14,86434,0
96,14,86434,0
97,14,86435,0
98,14,86435,0
99,14,86435,0
100,14,86435,0
101,14,86435,0
102,14,86435,0
103,14,86435,0
104,14,86435,0
105,14,86435,0
106,14,86435,0
107,14,86435,0
108,14,86435,0
109,14,86435,0
110,14,86435,0
111,14,86435,0
112,14,86435,0
113,14,86436,0
114,14,86436,0
115,14,86436,0
116,14,86436,0
117,14,86436,0
118,14,86436,0
119,14,86436,0
120,14,86436,0
